Style Number,Color Code,Size,Alt Size
13885,215,8,EE
13885,215,8.5,EE
13885,215,9,EE
13885,215,9.5,EE
13885,215,10,EE
13885,215,10.5,EE
13885,215,11,EE
13885,215,11.5,EE
13885,215,12,EE
13885,215,13,EE
13885,215,14,EE
13885,215,15,EE
13886,001,7,D
13886,001,7.5,D
13886,001,8,D
13886,001,8.5,D
13886,001,9,D
13886,001,9.5,D
13886,001,10,D
13886,001,10.5,D
13886,001,11,D
13886,001,11.5,D
13886,001,12,D
13886,001,13,D
13886,001,14,D
13886,001,15,D
13886,001,16,D
13886,001,8,EE
13886,001,8.5,EE
13886,001,9,EE
13886,001,9.5,EE
13886,001,10,EE
13886,001,10.5,EE
13886,001,11,EE
13886,001,11.5,EE
